Satellite,UTC Time,Event,Azimuth (deg),Elevation (deg)
CONNECTA T1.1,2025-04-11 11:39:51,AOS (Rise),89.5,10.0
CONNECTA T1.1,2025-04-11 11:39:59,MAX (Peak),92.0,10.0
CONNECTA T1.1,2025-04-11 11:40:08,LOS (Set),94.6,10.0
CONNECTA T1.1,2025-04-11 13:09:22,AOS (Rise),353.5,10.0
CONNECTA T1.1,2025-04-11 13:12:19,MAX (Peak),287.1,33.9
CONNECTA T1.1,2025-04-11 13:15:15,LOS (Set),220.6,10.0
CONNECTA T1.1,2025-04-11 23:35:32,AOS (Rise),150.6,10.0
CONNECTA T1.1,2025-04-11 23:38:41,MAX (Peak),74.6,49.4
CONNECTA T1.1,2025-04-11 23:41:51,LOS (Set),358.9,10.0
CONNECTA T1.2,2025-04-11 08:07:14,AOS (Rise),0.2,10.0
CONNECTA T1.2,2025-04-11 08:10:36,MAX (Peak),285.5,47.9
CONNECTA T1.2,2025-04-11 08:13:57,LOS (Set),210.5,10.0
CONNECTA T1.2,2025-04-11 18:39:39,AOS (Rise),148.2,10.0
CONNECTA T1.2,2025-04-11 18:43:01,MAX (Peak),74.4,46.1
CONNECTA T1.2,2025-04-11 18:46:25,LOS (Set),0.6,10.0
CONNECTA T2.1,2025-04-11 08:49:10,AOS (Rise),187.0,10.0
CONNECTA T2.1,2025-04-11 08:52:05,MAX (Peak),260.7,42.7
CONNECTA T2.1,2025-04-11 08:55:00,LOS (Set),334.3,10.0
CONNECTA T2.1,2025-04-11 21:33:43,AOS (Rise),1.5,10.0
CONNECTA T2.1,2025-04-11 21:36:39,MAX (Peak),284.6,51.2
CONNECTA T2.1,2025-04-11 21:39:34,LOS (Set),207.5,10.0
CONNECTA T3.1,2025-04-11 08:16:00,AOS (Rise),44.0,10.0
CONNECTA T3.1,2025-04-11 08:18:36,MAX (Peak),95.5,20.9
CONNECTA T3.1,2025-04-11 08:21:11,LOS (Set),147.0,10.0
CONNECTA T3.1,2025-04-11 09:48:35,AOS (Rise),335.2,10.0
CONNECTA T3.1,2025-04-11 09:50:54,MAX (Peak),290.8,17.9
CONNECTA T3.1,2025-04-11 09:53:13,LOS (Set),246.1,10.0
CONNECTA T3.1,2025-04-11 20:15:45,AOS (Rise),174.2,10.0
CONNECTA T3.1,2025-04-11 20:19:03,MAX (Peak),258.7,69.6
CONNECTA T3.1,2025-04-11 20:22:22,LOS (Set),343.3,10.0
CONNECTA T3.2,2025-04-11 09:28:33,AOS (Rise),354.5,10.0
CONNECTA T3.2,2025-04-11 09:31:31,MAX (Peak),286.6,35.9
CONNECTA T3.2,2025-04-11 09:34:27,LOS (Set),218.4,10.0
CONNECTA T3.2,2025-04-11 19:53:23,AOS (Rise),145.6,10.0
CONNECTA T3.2,2025-04-11 19:56:24,MAX (Peak),74.0,40.9
CONNECTA T3.2,2025-04-11 19:59:27,LOS (Set),2.8,10.0
